Topic,Count,Name,Representation,Representative_Docs
1,67,1_body_feeling_feel_know,"['body', 'feeling', 'feel', 'know', 'emotion', 'bodily', 'kind', 'dont', 'bit', 'body feeling']","['clearest expression there also lot image beginning sound waiting sound happening becomes also quite abstract know talk happening movement dont know cannot difficult relate question want know crazy started private little space youre facing know purpose touch know taking shirt also take giving lot association lot image situation could know felt also know moment strong first time enter private space someone suddenly told facing looking others eye kira also felt something know one connect one body able also closed eye moment also waiting long time know shyness somehow property please strongest', 'next next question sentire exploring body feeling orderly body perception connected kind feeling want even emotion stick feeling level kind disconnection kind connexion usage sentire quick reminder mentioned feel something stomach heart opening using system example kind thing bodily feeling connected body perception connected', 'planning question body feeling actually mean different feeling every emotional body depends usually focused still get focused emotion much whats happening body example could also definitely moment joy playing remember one moment bracelet also kira coming closer accidentally touched getting big sound funny meant touch didnt feel strong know sound strong remember laughing moment laughing definitely lot joy feeling way acknowledging whats happening body know']"
2,51,2_question_today_answer_experience,"['question', 'today', 'answer', 'experience', 'question question', 'want', 'repeat', 'time', 'answer question', 'specific']","['something otherwise last question', 'one one last question', 'question']"
3,39,3_work_working_practise_exactly,"['work', 'working', 'practise', 'exactly', 'know', 'change', 'imagine', 'asking', 'computer', 'maybe']","['system system get mental thinking work work work sometimes dont experience course different context dancer already different part dense research workshop', 'interested using one one work know could used one one body work experience id explore level maybe also performance dont dont know feel lot hesitance around moment around limitation inhabitant actually feeling strong connexion people need practise working way would satisfactory', 'also understand concern especially kind people professional working body perception body movement relationship others probably bit disorientating understand dont know still another quality away maybe mentioning speed dont see faster slow matter faster slower matter something different hopefully offering something already giving another access especially people professional working hope know normal average person know system give hint actually work time hope motivation work system well actually working dont know']"
4,36,4_yes_yes yes_yes yes yes_exactly,"['yes', 'yes yes', 'yes yes yes', 'exactly', 'yes thats', 'exactly thats', 'thats thats', 'correct', 'thats fine', 'thats fine thats']","['yes', 'yes yes', 'yes yes yes yes yes definitely know two']"
5,28,5_understand_know know_know_look,"['understand', 'know know', 'know', 'look', 'saw', 'clear frame', 'awareness understandable picture', 'clear frame explore', 'better understand know', 'frame explore know']","['understand', 'great good specify there misunderstanding', 'understand well related confusion usually perceive']"
6,28,6_touch_touching_skin_touched,"['touch', 'touching', 'skin', 'touched', 'warm', 'incidental', 'contact', 'touch person', 'gonna', 'youre']","['touching skin different touching fabric', 'moment touching first time physically touching sound sharp strong example', 'there quite get tricky order touch weight help feel away touching close get diffuse']"
7,23,7_bring_stuff_bringing_came,"['bring', 'stuff', 'bringing', 'came', 'bring bring going', 'bing know hope', 'bring bring', 'bringing bing', 'bring bringing', 'bring going']","['bring something', 'bing know hope', 'come carry u powerful collection experience stuff stuff sorry']"
8,22,8_proximity_closer_especially_close,"['proximity', 'closer', 'especially', 'close', 'floor', 'distance', 'shoe', 'antenna', 'relating person', 'especially youre']","['happens sweet spot varies worked uh proximity distance youre area believe technical one', 'moving sensing versus resistance amount electricity flow two cable two human small thing measure versus whats going help keep', 'understand problem thing know especially youre sitting knee close even feel last question relates development wireless version fully ready yet work pretty decently could problem especially saw using system bracelet anymore something put shoe shoe reason touch floor system basically sensor doesnt work connected floor somehow connection two antenna let work thanks floor crazy thing dont know whats exactly anyway first way especially dancer raise foot air screw signal anyway']"
9,21,9_bit_distracted_lighter_quite light,"['bit', 'distracted', 'lighter', 'quite light', 'little bit', 'light', 'little', 'focus', 'hand', 'waining bit distracted']","['could tendency one hand also help hand also distracts', 'put focus something may sometimes focused one sense sens access moment', 'quite light quite light ohh waining bit']"
10,21,10_play_fun_game_later,"['play', 'fun', 'game', 'later', 'play game', 'playfulness', 'permission', 'said', 'boundary invite somebody', 'beginning said need']","['play', 'there agency situation game ruined play game guest well pointing towards play game', 'cause play play thing maybe spoke touching people face might normally permission give permission quite actually easy play boundary even invite somebody something thats make']"
