Topic,Count,Name,Representation,Representative_Docs
-1,506,-1_liked_body communication_research_experience,"['liked', 'body communication', 'research', 'experience', 'boundaries', 'say', 'feels', 'bit', 'frame', 'knowing']","[""For your message.  Or like for you what's happening in your party. And of course like this like already last time last time we shared so many times like yeah it doesn't really like bring you more like the awareness or like interceptive awareness or.  That it's even.  Like that's maybe it makes you a little bit.  You away from there?  Of course it has the potential to bring you awareness of  The body in space, the body in relation to other parties, so like proprioception and and like totally it has that kind of possibility.  But also.  This is again the question. It will be work."", ""Yeah, like I like it.  I lost my curiosity.  Let's say, like I, I was like fun.  To play and.  Then I saw OK. Now I know how it is and then I had like.  OK, maybe now it would need something from the group you know to add a score or something to make a little bit more complicated. Or I don't like some new ideas how to how to work with it.  Boredom is mild.  And if you which comes out for you.  And then I was stepping out and I was watching. I was really enjoying to watch, and just listen. And then.   Uh, I was still curious enough to step in.  At least two times.  So it's I didn't feel like I had like.  From these coming up."", ""Thank you was fine for you.  That is perfect, so final steps.  And the the other aspect that was a bit underlying in all my questions, but I found it.  Especially after the way we shared information at the at the end today I. I mean, this is considering our focused interviews, but it actually overlaps with another method that comes from phenomenology, so that's a bit actually what you what you rather lead actually.  I ask you to do meaning talking first person about a specific moment, so I really try to reenact that experience.  Uhm, so actually the I didn't want to overload you with this research information that are not directly relevant to the question I'm posing, but I think it's also it does affect. Also the way you answer.  And so you're very welcome when you answer the question or or or better say when we discuss the quest you know together also to.  Take really specific moment you experience today.  And reenact them, so go really not only going deep and in detail, but also try to experience them again in a present sense and with a.  So I.  Uh, I smelled this. I heard this. I felt this so you're very welcome to do that.""]"
0,280,0_sound like_kira_dancing_kind,"['sound like', 'kira', 'dancing', 'kind', 'touch', 'know like', 'movement', 'came', 'example', 'actually like']","[""Yeah, I really like the maybe like the limitations that gave me like more focus with the partner that I was with, like being behind the curtain and the seats and.  I mean, even though I broke all the kind of set up and like, you know, came off the seat and like.  Yeah. I just. I really like the, like the closeness of the interaction.  Yeah. And I really liked playing with. I feel like this Sentire has something strong with the being with the distance and the space in between the touch. Like for me, it's always more interesting to be like just before the touch.  Not always. But then yeah, I was playing more with the musicality.  Of it and the.  I'll say something about something else like I like. Can we play, Like, can I just give you touch at some point or like, can I just and we had an interaction where I put my hand on.  On your back.  Or like I hobbled my hand over like one side of your back quite a while.  And then.  Like touch.  And this like for me, was like a moment of tracking what was.  My sensations in my body, as well as being with the sound and there's like much more bigger experience that was like more complex.  I say bigger because this was so like this being sound being made because Mario's movements and feelings and yeah, kind of energy in this situation and.  Yeah. Like I was kind of supported by this and.  This this kind of enclosed space and the.  The closeness [unclear] interaction."", ""There was a moment like on a few moments with Kira, where emotions were very clear.  Like what? Like I mean.  I think that's what you're asking.  About like there was.  A kind of period at the.  Beginning where we were sort of flirting, I would say. Or she kind of was pulling gestures and like closing her legs and.  Then holding her hand.  And then I kind of copied it the other way and there was like this sort of like.  Yeah, giving something but taking something away, the sort of feeling.  That was, yeah, teasing. Like so, there was something of, like, feeling a bit edgy in this this moment. And it happened again later on.  And then there was also, like, a few moments where it was really like ohh right hand. I think it was both times my right hand like joined what must have been her left hand. So like this moment where?  It was like, Oh yeah, we're we're we're committing to this like strong grip hold like strong like.  Yeah, I want this, but there might have been some touch. There was touch going on or had been and then there was like now we go deeper and and that happened twice.  Like once when we were standing once when we were crouched on the ground and we both really late.  The second time we really looked at this hand and it was like, oh, what happens here also with the sound and things.  Yeah, there was something of kind of.  Relief and assurance and and.  a yes, I know.  Consistency and simplicity of something in this in this moment.  And an ongoingness, maybe the white noise for example, that I spoke about before, that was like the background conversation, very light again.  A little bit, yeah."", ""I didn’t find this sounds comfortable.  I felt that the first sound, it was very harmonic.  I didn't personally like the sound which was the sound of touch like suddenly.  This key, keyboard sound  And then after, when you stayed in touch.  It went to cello and that was very beautiful like I found that sound very very beautiful and.  I felt like wow.  This found actually the what it creates.  In me is that it  I want to stay in contact.  Like in physical conduct, because the sound then I was like yeah wow like actually it's very important like which kind of sound you choose if you want.  To really work with.  With the touch.  Because then we are. We are actually touching through sound and not so much touching through sensation.  Of feeling because this I already last time discovered like for me it doesn't work in that way, It's very auditive.  And then.  And this keyboard sound I would.  Not personally key, I will change it and I would like totally go into very very harmonic harmonic sound.  In this case.  But also I was thinking of very compositional this time.  so it depends also what you want. Of course, what's your focus and which sound you choose.  And an I...  the first sound was for me, very beautiful, like the sort of sound I personally like. The second was not like so much my type, but I actually found it more interesting.  Because it was unpredictable.  And it was.  Yeah, because the sound was not.  Because it was different keys, like different notes and different quality of of sound. So it was.  Yeah, so the 1st.  Sound you knew already was coming when you thought?  And the second you didn't know. So in a way it was more. It was like as a compositional tool. It was definitely more interesting.  But the first sound I've.  I felt like, wow, actually because I was because I'm a bit busy myself with.""]"
1,92,1_skin_relation_proximity_like touching,"['skin', 'relation', 'proximity', 'like touching', 'helps', 'like connection', 'relationship touch', 'shift', 'technology', 'like definitely']","['Wireless on the depth. Also like I would like some touch and to receive feedback about quality of touch. So like is that how much pressure or how much you know distance? But yeah, lightness or kind of.', ""Yeah, there's it's quite it. It gets very tricky.  Those are my orders.  And then it's yeah, it's it's more the.  The touch and weight that helps to feel.  And if I'm away, I'm not touching it.  How close am I?  Yeah yeah, but it gets very diffuse."", 'I think this question has been answered already quite many times, but there was like definitely the communication with distance and proximity and and this definitely fits there.  Yeah, where are we in relation to each other?  Uh, also dynamics to speed']"
2,75,2_want share_ideas_ask_just trying,"['want share', 'ideas', 'ask', 'just trying', 'repeat', 'following', 'happy', 'report', 'wanted say', 'question like']","[""I mean, we're almost finished. We have basically.  Two more questions will usually be quick here.  So you know it's also tricky and more personal question, but yeah, it's.  Whether it works with any personal issues of yours during today, today usage."", ""I mean, the reason for sure overall, I mean it's impossible not to have overlapping with this question and just trying to focus different aspects.  But of course, when you start from one you you bring in all the others. So yeah, it's just trying to to focus on see in this and.  See if there is something that is more that was not said before."", 'Yeah. Yeah. No, of course.  now the light question, what would you like to change if you could change anything.  Any new new ideas in that direction?  It could be now that we just talked about.']"
3,70,3_exactly yeah_12_think coming_neutralising,"['exactly yeah', '12', 'think coming', 'neutralising', 'know example', 'background like', 'yeah best', 'just add', 'like thing', 'data']","['Why did you call it as such? 00:20:12 Buffy yeah.', 'These things will happen. 00:15:39 Yeah, yeah.', ""Yeah, yeah, yeah, like.  Yeah yeah, yeah, exactly yeah yeah exactly yeah yeah it's.""]"
4,66,4_opening_able_complex_practise,"['opening', 'able', 'complex', 'practise', 'just leave', 'think use', 'question later', 'yeah need', 'yeah tricky', 'plays role']","[""But, but you cannot imagine you're now independent from how theoretically it can be used and how your specific experience and work.  You cannot imagine a specific way to use it that was more my question."", ""Plays a role.  Yeah, that I mean if you have something about that it comes later the question later about.  How you what you wish to change so  You're very welcome to.  So we try.  To leave it for later, but please."", ""Now, how much? Yeah, yeah, probably. Depends how you use it. And then, like, so probably according that.  I would still want.  That it does, that's what I do.  Still like that, it will do that. It does what I do.  And if I if I bring my arm here like send it.""]"
5,36,5_possible_doesn really_sense yeah_yeah imagine,"['possible', 'doesn really', 'sense yeah', 'yeah imagine', 'think bit', 'theoretically', 'creates like', 'potential', 'needs', 'problem']","[""Possible that's it's not yet there, but that is possible."", ""That's definitely possible."", ""Theoretically it's possible. The only problem is that.""]"
6,31,6_say understand_realised_really think_distance yeah,"['say understand', 'realised', 'really think', 'distance yeah', '53', 'time mean', 'aware', 'performance', 'usually', 'problem']","[""Well, that's I mean I can really, I think to solve or go over this issue, I think it it's enough."", ""But I I can understand. 00:53:32 Yeah, to put it out here like it's really."", 'You know I can understand, and I can also provide this information next time. I mean this, I usually also when we do the performance we try really to explain the little as possible at the beginning because the problem is often.']"
7,30,7_participants_responses_audience_big group,"['participants', 'responses', 'audience', 'big group', 'background like', 'students', 'say understand', 'people interaction', 'busy', 'problematic']","[""I just want to acknowledge that those things are we're we're doing quite quite a lot as as this particular group like."", ""You know my.  Responses there might be quite strong responses, and that's like that. That tells me that there's some you know, personal layers.  Underneath or with them they come with. 01:25:07 Them, you know.  Having a strong responses."", ""And a bit white and a bit.  Grey and it was like.  Like busy, like, there was a lot like.  You know, going.  Like people, it was a little bit.  Like people having a conversation in the background.  That's what it was like.""]"
8,28,8_day_chest_created_feeling,"['day', 'chest', 'created', 'feeling', 'answered', 'question feel', 'guinea pig', 'hesitant', 'head like', 'trying way']","['I am like completely like.  Baffled by how this like I feel a little bit like a.  A Guinea pig.', ""I don't know.  From it came just.  As well, actually it was maybe a concern as a bit in my chest and a bit in my head.  And a bit like.  Maybe a bit behind my eyes.  As well, because like that's maybe a disappointment a bit more, but like the concerns were in my.  Chest and my head, but more like."", ""Yeah, I hate it. It gave me an experience of of.   Yeah, that's right.  Yeah, like I called shelling myself or like like feeling, feeling absolutely safe. So I I go into a bit agitated tense mode.  And then I'm.  I'm doing something that's going on going in it, I'm not. I'm not hiding and I'm not.  Fighting, I'm just.  Trying it out and that way.  He created an.  An interesting experience which not dust.  They will work.  Inside of me.""]"
