Topic,Count,Name,Representation,Representative_Docs
-1,738,-1_sound_kind_bit_dont,"['sound', 'kind', 'bit', 'dont', 'touch', 'time', 'mean', 'maybe', 'moment', 'person']","['second time group format jam let go able control centre either there big group everybody need opportunity explore maybe explore many different way kind didnt didnt let outside enjoyed unpredictability uh rather kind observing wouldnt come within group within group also felt end jenny moment swinging sound took sound piece one sound wrist sound end wire hand became whole system felt destroyer kind destroyed actual whole point kind holding limitation dont didnt didnt point kind exhausted possibility', 'moment moment kira emotion clear mean thats youre asking kind period beginning sort flirting would kind pulling gesture closing leg holding hand kind copied way sort giving something taking something away sort feeling teasing something feeling bit edgy moment happened later also moment ohh right hand time right hand joined must left hand moment oh committing strong grip hold strong want might touch touch going go deeper happened twice standing crouched ground late second time looked hand oh happens also sound thing something kind relief assurance consistency simplicity something moment ongoingness maybe white noise example spoke background conversation light little bit', 'didnt find sound comfortable felt first sound harmonic didnt personally sound sound touch suddenly key keyboard sound stayed touch went cello beautiful found sound beautiful felt wow found creates want stay contact physical conduct sound wow important kind sound choose want work touch touching sound much touching sensation feeling already last time discovered doesnt work way auditive keyboard sound would personally key change would totally go harmonic harmonic sound case also thinking compositional time depends also want course whats focus sound choose first sound beautiful sort sound personally second much type found interesting unpredictable sound different key different note different quality sound st sound knew already coming thought second didnt way compositional tool definitely interesting first sound ive felt wow bit busy']"
0,72,0_feeling_body_feel_emotion,"['feeling', 'body', 'feel', 'emotion', 'bodily', 'body feeling', 'bit', 'perception', 'connected', 'mean']","['experiencing sense overwhelm thats something experience life feeling quite stimulated sound knowing kind ground way experiencing body quite introspective level right bring pattern see life there there pause sec feel kind little bit maybe there little layer shame around quite strong reaction something maybe id collaborate work yet there strong reaction sure mean give bit go away level impatience there there feel inner process yet there wish understand process brings brings', 'planning question body feeling mean different feeling every emotional body depends usually focused still get focused emotion much whats happening body example could also definitely moment joy playing remember one moment bracelet also kira coming closer accidentally touched getting big sound funny meant touch didnt feel strong sound strong remember laughing moment laughing definitely lot joy feeling way acknowledging whats happening body', 'next next question sentire exploring body feeling orderly body perception connected kind feeling want even emotion stick feeling level kind disconnection kind connexion usage sentire quick reminder mentioned feel something stomach heart opening using system example kind thing bodily feeling connected body perception connected']"
1,71,1_touch_touching_cable_closer,"['touch', 'touching', 'cable', 'closer', 'close', 'skin', 'proximity', 'getting', 'touched', 'circuit']","['see whats happening kind skin skin touch happening conductivity lot engineering aspect', 'also lot setting cable find cable great white clean room cable said contemporary performance', 'moving sensing versus resistance amount electricity flow two cable two human small thing measure versus whats going help keep']"
2,59,2_sound_cello_volume_make,"['sound', 'cello', 'volume', 'make', 'mean', 'sound sound', 'come', 'quality', 'deeper', 'make sense']","['sound', 'sound system', 'sound also']"
3,45,3_work_working_practise_exactly,"['work', 'working', 'practise', 'exactly', 'way', 'asking', 'computer', 'change', 'research', 'context']","['work someone', 'system system get mental thinking work work work sometimes dont experience course different context dancer already different part dense research workshop', 'interested using one one work could used one one body work experience id explore level maybe also performance dont dont feel lot hesitance around moment around limitation inhabitant feeling strong connexion people need practise working way would satisfactory']"
4,36,4_question_answer_answer question_want,"['question', 'answer', 'answer question', 'want', 'today', 'question question', 'happy answer', 'new today', 'reiterate question', 'happy answer question']","['question', 'meanwhile less question', 'one one last question']"
5,35,5_thats thats_thats thats thats_said_exactly,"['thats thats', 'thats thats thats', 'said', 'exactly', 'correct', 'right correct', 'thats fine', 'way exactly', 'exactly thats', 'right']","['well weve maybe ive also said', 'thats thats group', 'wherever thats something thats thats would take']"
6,29,6_able_bring_stuff_bringing,"['able', 'bring', 'stuff', 'bringing', 'came', 'able accept able', 'accept', 'accept able', 'bring able', 'bring able accept']","['able', 'something able accept able get', 'come carry u powerful collection experience stuff stuff sorry']"
7,24,7_sound_way_close_dont,"['sound', 'way', 'close', 'dont', 'different', 'kind', 'feel', 'experience', 'body', 'touch']","['mean dont whether maybe lower sound tone kind bring mean different part body happen different vibration different tone resonate different part body kind research around maybe support give ground thing densly language physical experience grounded physical experience lower lower tone dont dont dont much matter weve youve introduced different sound sort similar effect', 'kind feel would sound close way using feeling good distance want closer drawing sound puhing away get closer get louder could imitating different sound proximity two three sound choose switch bracelet want away want close would nice switch way person person want close want close wanted kind body language way', 'standard contact established established distracting feel need fear around getting close thats kind instrument could play sense created external awareness close perspective take away actual feeling close someone cause there way body there sensation nervous system telling either agitated youre agitated calm way distance appropriate sound way crutch synthesise sensation added uh get dont need could tool get feeling wait well music stopped still imagine coming closer imitating sound getting closer even making sound didnt yet could way play system become sentire someone something close sound would kind funny touch']"
8,22,8_dont_dont dont_time dont_away,"['dont', 'dont dont', 'time dont', 'away', 'quick', 'add thats', 'whats counter productive', 'away dont', 'away dont dont', 'add thats mean']","['dont', 'also dont', 'thats mean thats time dont answer please total fine saying dont']"
9,21,9_play_fun_game_later,"['play', 'fun', 'game', 'later', 'play game', 'playfulness', 'said', 'joy', 'change youre welcome', 'change youre']","['play', 'play role mean something come later question later wish change youre welcome try leave later please', 'there agency situation game ruined play game guest well pointing towards play game']"
10,20,10_look_ah look explore_ah look_auditize look curious,"['look', 'ah look explore', 'ah look', 'auditize look curious', 'auditize look', 'away good mentioned', 'auditize', 'deal need', 'deal', 'curious away']","['look something', 'look', 'ah look could']"
11,19,11_dance_dancing_contact_improvisation,"['dance', 'dancing', 'contact', 'improvisation', 'contact improvisation', 'effect', 'dancer', 'let', 'dance performance', 'emotional effect']","['also emotional effect sense effect dance quality body quality movement also effect partner way dancing sound emotional effect', 'anyways something one need try easy would work might also lot predictability life unclear also well youre dance vertical must probably one foot floor anyways unless jump cannot jump long cannot stay air long nice cut dont aesthetically nice thing cut somebody', 'also need uh understand focus dancing dancing contact improvisation ensemble improvisation nothing apart using system dance contact improvisation different course always many time champ situation overlap still dance group ensemble work often even without system would engage one person also good notice example didnt kind focus contact improvisation touch sure didnt try engage person longer contact trio didnt share wait sense usually dance contact would different would decided beforehand hey let let go contact contact improvisation let ask question']"
12,17,12_people_conversation_people bridge_bridge,"['people', 'conversation', 'people bridge', 'bridge', 'group', 'bit', 'acknowledge thing quite', 'background thats conversation', 'acknowledge thing', 'white bit grey']","['people', 'people', 'bit white bit grey busy lot going people little bit people conversation background thats']"
13,16,13_communication_movement_expression_body,"['communication', 'movement', 'expression', 'body', 'body communication', 'communication movement communication', 'communication movement', 'movement communication', 'awareness', 'body communication movement']","['recall moment helped explore expression movement body expression right youre moving away express something direct doesnt necessarily communication communication specific express something position moving whether certain situation using sentire today affected particularly two aspect body expression position body position every movement maybe something mean imagine end especially guy also movement maybe something one two situation want report also related situation', 'problem ask anytime question body expression movement expression want simplify communication body communication movement communication', 'body communication movement communication']"
14,16,14_possible_maybe maybe_probably_maybe,"['possible', 'maybe maybe', 'probably', 'maybe', 'according', 'bit vague potential', 'according want thats', 'arm send', 'according want', 'definitely possible probably']","['theoretically possible problem', 'possible thats yet possible', 'much probably depends probably according would still want thats still bring arm send']"
15,16,15_complex_complexity_bit trickier way_bit trickier,"['complex', 'complexity', 'bit trickier way', 'bit trickier', 'alive living', 'alive living knitted', 'work term trying', 'work term', 'cell', 'cell spiritual']","['thats also imagine complex human being hand yet time', 'quite complex complexity come another complexity coming would', 'complex complex peaceful every collection cell spiritual existence alive living knitted together']"
16,15,16_experience_experience experience_experienced_question experienced,"['experience', 'experience experience', 'experienced', 'question experienced', 'imagining', 'question', 'session', 'definitely', 'definitely guess', 'definitely guess partly']","['experience', 'mean background question experienced something saw something today made made mean posted question also', 'sort bit imagine definitely guess partly session kind thinking also imagining']"
17,15,17_issue_personal issue_personal_issue personal issue,"['issue', 'personal issue', 'personal', 'issue personal issue', 'issue personal', 'personal issue personal', 'unclear', 'explore', 'specific', 'explore discover outside']","['personal issue', 'personal issue go', 'another question personal issue whether chance explore personal issue session today explore discover something something something']"
18,15,18_relationship_partner_relation_perceiving partner,"['relationship', 'partner', 'relation', 'perceiving partner', 'relationship thats', 'help perceive partner', 'perceive partner', 'help perceive', 'sentire', 'perceiving']","['uh already autistic let kind struggle relationship building relationship', 'course depends whats relation person partner depends lot kind issue', 'much relat perceiving partner sentire sentire help perceive partner']"
