Topic,Count,Name,Representation,Representative_Docs
-1,259,-1_setting_expectation_pling pling_connected,"['setting', 'expectation', 'pling pling', 'connected', 'perceiving partner', 'perception connected', 'body feeling', 'noisy environment', 'wearing bracelet', 'trying focus']",
0,20,0_00 20_explanation_experience don_buffy yeah,"['00 20', 'explanation', 'experience don', 'buffy yeah', 'comes mind', 'challenged time', 'comparison', 'did kind', 'difficult realise', 'interesting maybe']",
1,11,1_use practise_contexts_disadvantage meaning_counter productive,"['use practise', 'contexts', 'disadvantage meaning', 'counter productive', 'hand distracts', 'feet legs', 'perceive person', 'lot mean', 'kira started', 'kira mean']",
2,10,2_want share_course light_context yeah_does new,"['want share', 'course light', 'context yeah', 'does new', 'answered time', 'usually quick', 'usage mean', 'finding relevant', 'dislike like', 'ideas mean']",
3,10,3_sound quality_volume_quality_big effect,"['sound quality', 'volume', 'quality', 'big effect', 'high frequency', 'concern mean', 'like different', 'mean sound', 'louder response', 'sound interactive']",
4,10,4_yeah like_know memory_53 32_definitely know,"['yeah like', 'know memory', '53 32', 'definitely know', 'definitely possible', 'memory yes', 'know think', 'understand 00', 'know use', 'saw']",
5,9,5_personal issues_chance explore_did today_direction imagining,"['personal issues', 'chance explore', 'did today', 'direction imagining', 'going particularly', 'experienced observed', 'moderator interview', 'session today', 'potential going', 'right yeah']",
6,8,6_using sentire_bit direction_away mean_clear probably,"['using sentire', 'bit direction', 'away mean', 'clear probably', 'correct mean', 'bodily feelings', 'did understand', 'interaction person', 'emerge', 'compare use']",
7,7,7_bit feeling_enter_connexion did_emotion körpergefühle,"['bit feeling', 'enter', 'connexion did', 'emotion körpergefühle', 'disappointment location', 'feelings body', 'feeling sad', 'exactly floor', 'week', 'sad example']",
8,7,8_body communication_communication movement_position_expression movement,"['body communication', 'communication movement', 'position', 'expression movement', 'affected', 'share', 'sentire help', 'thoughts don', 'communication recall', 'bit marius']",
9,7,9_signal_cable version_wireless version_shoes,"['signal', 'cable version', 'wireless version', 'shoes', 'cable sitting', 'bracelet anymore', 'balance work', '29 47', 'arm', 'antennas let']",
