Topic,Count,Name,Representation,Representative_Docs
1,60,1_general_floor_working_movement,"['general', 'floor', 'working', 'movement', 'cable', 'different', 'saying', 'interaction', 'don know', 'easy understand']",
2,67,2_yep yep_hm_correctly mean_yeah case,"['yep yep', 'hm', 'correctly mean', 'yeah case', 'uh', 'true', 'clear', 'exactly', 'course', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",
3,17,3_participants_like change_yeah tricky_research project,"['participants', 'like change', 'yeah tricky', 'research project', 'interface', 'mean didn', 'actually working', 'depends', 'imagine use', 'understand yeah']",
4,15,4_want stop_free_didn want_involved,"['want stop', 'free', 'didn want', 'involved', 'doing', 'away', 'change', 'didn', 'think', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",
5,14,5_personal issues_liked_experience_maybe specific,"['personal issues', 'liked', 'experience', 'maybe specific', 'answer question', 'disliked today', 'unclear', 'explore personal', 'issues mean', 'today session']",
6,13,6_practise_meaning_contexts_advantage,"['practise', 'meaning', 'contexts', 'advantage', 'like time', 'work imagine', 'way use', 'tricky', 'asking', 'specific']",
7,12,7_use yep_want use_say understand_like really,"['use yep', 'want use', 'say understand', 'like really', 'time mean', 'little', 'information', 'performance', 'problem', 'think']",
8,20,8_emotion_stomach_connexion_like example,"['emotion', 'stomach', 'connexion', 'like example', 'inside', 'körpergefühle', 'bodily feeling', 'perception body', 'moment', 'perceiving']",
9,10,9_felt like_consciously_know course_fingers,"['felt like', 'consciously', 'know course', 'fingers', 'experience', 'time mean', 'repeat', 'thinking', 'saw', 'session']",
10,10,10_leave_maybe specific_happen_question later,"['leave', 'maybe specific', 'happen', 'question later', 'time yeah', 'plays role', 'situations', 'mention', 'wish', 'let say']",
11,10,11_wish_talk_want share_01 36,"['wish', 'talk', 'want share', '01 36', 'unclear', 'yeah course', 'question like', 'thinking', 'like change', 'context']",
12,9,12_better_help perceive_sentire helped_perception body,"['better', 'help perceive', 'sentire helped', 'perception body', 'think general', 'helps explore', 'feel stomach', 'feeling connected', 'usage', '36']",
13,9,13_possible_maybe bit_theoretically_yeah tricky,"['possible', 'maybe bit', 'theoretically', 'yeah tricky', 'definitely', 'tricky', 'mean mean', 'problem', 'bit', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",
14,9,14_exactly asking_following_following question_questions,"['exactly asking', 'following', 'following question', 'questions', 'exactly', 'second', 'actually', 'person', 'like', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",
15,8,15_question later_like question_topic_say say,"['question later', 'like question', 'topic', 'say say', 'disliked', 'usage', 'don want', 'quick', 'personal issues', 'particularly']",
16,41,16_aware_unfortunately_close yeah_mean did,"['aware', 'unfortunately', 'close yeah', 'mean did', 'intimate', 'stick', 'touching', 'situation', 'kind', 'body']",
17,8,17_perceive partner_mean different_bit direction_sentire mean,"['perceive partner', 'mean different', 'bit direction', 'sentire mean', 'personal issue', 'did experience', 'imagine use', 'practise', 'little', 'helped']",
18,8,18_movement communication_expression_communicating_situations,"['movement communication', 'expression', 'communicating', 'situations', 'body', 'studies', 'want report', 'helped', 'using sentire', 'specific']",
19,7,19_fine_think fine_01 36_01,"['fine', 'think fine', '01 36', '01', 'misunderstanding', 'ok want', 'start', 'good', 'think', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",
20,7,20_thank_yeah thank_yeah yeah_ok,"['thank', 'yeah thank', 'yeah yeah', 'ok', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",
21,7,21_ok_good_sounds_,"['ok', 'good', 'sounds', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",
22,7,22_boundaries_suddenly_safety_did know,"['boundaries', 'suddenly', 'safety', 'did know', 'feel like', 'strong', 'moments', 'felt', 'tell', 'bit']",
